SEX,ORIGIN,RACE,YEAR,TOTAL_POP,POP_0,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,POP_7,POP_8,POP_9,POP_10,POP_11,POP_12,POP_13,POP_14,POP_15,POP_16,POP_17,POP_18,POP_19,POP_20,POP_21,POP_22,POP_23,POP_24,POP_25,POP_26,POP_27,POP_28,POP_29,POP_30,POP_31,POP_32,POP_33,POP_34,POP_35,POP_36,POP_37,POP_38,POP_39,POP_40,POP_41,POP_42,POP_43,POP_44,POP_45,POP_46,POP_47,POP_48,POP_49,POP_50,POP_51,POP_52,POP_53,POP_54,POP_55,POP_56,POP_57,POP_58,POP_59,POP_60,POP_61,POP_62,POP_63,POP_64,POP_65,POP_66,POP_67,POP_68,POP_69,POP_70,POP_71,POP_72,POP_73,POP_74,POP_75,POP_76,POP_77,POP_78,POP_79,POP_80,POP_81,POP_82,POP_83,POP_84,POP_85,POP_86,POP_87,POP_88,POP_89,POP_90,POP_91,POP_92,POP_93,POP_94,POP_95,POP_96,POP_97,POP_98,POP_99,POP_100
0,0,0,2022,333287557,3683113,3588817,3693362,3742836,3830225,3907298,4008898,4043729,4031341,4017929,4024547,4068564,4152811,4240884,4403033,4396566,4325808,4291066,4326642,4295710,4438006,4723644,4663473,4483807,4396849,4346308,4351553,4419629,4503844,4571830,4672812,4739263,4751526,4614523,4530012,4476550,4483170,4478749,4383099,4446381,4438786,4375219,4356125,4175926,4081360,4029138,3891868,3935451,3859402,3908239,4094089,4334593,4265282,4102135,4011448,4021403,4075771,4228510,4322714,4318616,4327473,4313536,4231279,4144198,4101937,4020640,3833262,3737326,3598472,3441722,3305273,3141497,2988811,2898395,2823041,2959404,2083434,1986144,1915774,1916244,1623833,1441506,1303339,1193273,1097594,962356,870823,798679,672727,601746,524576,450431,380133,304906,248895,194667,145421,109622,78028,53870,88988
0,0,0,2023,334906305,3631327,3695123,3602205,3706341,3755532,3842609,3919372,4020588,4055224,4042856,4028981,4035392,4078985,4163138,4251863,4415681,4411923,4344651,4311389,4349049,4319281,4462002,4747490,4688863,4511128,4425242,4375469,4380110,4446730,4529297,4595053,4693359,4756849,4766945,4628243,4541836,4485545,4489060,4482319,4384549,4445859,4436751,4372484,4352571,4172689,4077310,4023471,3884513,3925534,3847742,3894415,4077909,4315978,4246083,4083098,3991595,4000190,4052231,4201649,4292915,4286224,4292422,4275334,4190527,4101235,4055957,3972246,3783926,3685760,3544847,3386157,3247390,3081090,2925834,2831600,2751641,2876432,2019916,1918989,1843781,1835966,1547923,1365759,1226680,1114894,1017446,884880,793482,720739,600500,530741,456677,386590,321234,253443,203141,155804,113960,83998,58334,96220
0,0,0,2024,336482168,3636897,3646544,3707893,3614870,3718816,3767851,3854677,3931058,4032153,4066751,4053990,4039745,4045855,4089464,4174273,4264760,4431233,4430793,4365227,4334073,4372915,4343805,4486762,4772846,4715933,4539861,4454327,4404478,4407891,4472741,4553351,4616378,4711925,4772806,4780734,4640238,4551101,4492041,4492965,4484014,4384820,4444213,4434133,4369370,4348741,4168584,4071714,4015834,3875070,3913665,3834529,3879452,4060969,4296681,4226249,4063171,3970745,3977642,4027228,4173227,4261220,4251854,4255055,4234670,4147325,4055646,4007426,3921269,3732032,3631181,3487969,3326915,3185610,3016555,2858706,2760382,2675472,2787993,1952096,1847332,1766983,1750256,1467026,1285760,1146539,1033902,935833,806737,716240,643711,529975,462324,392226,326949,267171,207018,162723,122212,87417,62906,101480
0,0,0,2025,338016259,3641659,3652257,3661925,3720050,3627091,3730971,3779855,3866375,3942623,4043734,4077827,4064818,4050139,4056358,4100761,4187375,4280598,4450410,4451394,4388203,4358292,4397707,4369092,4513006,4799921,4744439,4569232,4483351,4432689,4434575,4497393,4575469,4635726,4728814,4787119,4792818,4649679,4557880,4496512,4495049,4484465,4383952,4441984,4431147,4365962,4344069,4162929,4064162,4006104,3863702,3900265,3820245,3863781,4043454,4276780,4205571,4042300,3948674,3953672,4000738,4143031,4227535,4215200,4215221,4191527,4101586,4007544,3956298,3867621,3677198,3573270,3427379,3263648,3119581,2947712,2787163,2684463,2594173,2693746,1879742,1770816,1684977,1658993,1381541,1202109,1063680,951389,853513,728639,639890,568440,461982,397340,331969,272160,218386,165976,127760,93846,65550,106523
0,0,0,2026,339513045,3646146,3657183,3667779,3676277,3731905,3639101,3742897,3791585,3877988,3954257,4054959,4088644,4075381,4060687,4067794,4114162,4203555,4300179,4471498,4474503,4412790,4383575,4423332,4396007,4540984,4828534,4773741,4598593,4511700,4459845,4459893,4520153,4595665,4653420,4744060,4799766,4802425,4656681,4562695,4499226,4495947,4483818,4382503,4439467,4427878,4361760,4337895,4155336,4054546,3994512,3850854,3885840,3805329,3847682,4025448,4256095,4183966,4020205,3925293,3928279,3972575,4110975,4191570,4176162,4172913,4145836,4053328,3956905,3902533,3810952,3619061,3511580,3362697,3196132,3049111,2874366,2710936,2603485,2507476,2593392,1802447,1689077,1597653,1562607,1292102,1115616,979233,868115,771229,651381,565286,495817,397352,336538,276566,222680,175226,130440,98205,70453,110819
0,0,0,2027,340970496,3650366,3661834,3672842,3682260,3689938,3743653,3650937,3754581,3803254,3889668,3965546,4065973,4099227,4086094,4072236,4081379,4130724,4223558,4321753,4495101,4499244,4438391,4409752,4450571,4424662,4570486,4857930,4803013,4627259,4538982,4485562,4483262,4540872,4614105,4669376,4757446,4809930,4809472,4661715,4565687,4500726,4495739,4482564,4380700,4436663,4423804,4356050,4329742,4145650,4043029,3981408,3836994,3870800,3789958,3831208,4006725,4234510,4161125,3996760,3900500,3901227,3942611,4076704,4153170,4134642,4128017,4097541,4002510,3903578,3845735,3750846,3557103,3445690,3293624,3124148,2973922,2796212,2629595,2517106,2415035,2486349,1719810,1602020,1505394,1461782,1199570,1027431,893944,784804,689808,575814,493298,426733,336822,280589,226476,178861,137828,100371,73804,116676
0,0,0,2028,342384777,3653997,3666219,3677635,3687451,3696038,3703134,3755296,3662568,3766260,3815026,3901049,3976593,4076680,4109958,4097745,4085968,4098150,4151162,4245568,4345914,4520250,4525026,4464763,4437484,4479518,4454751,4600695,4887352,4831499,4654778,4564827,4509210,4504511,4559796,4630709,4683437,4768145,4817494,4814457,4664902,4567385,4501052,4494922,4480901,4378557,4433019,4418210,4348354,4319426,4134026,4029976,3967245,3822487,3855307,3774159,3814053,3987164,4211689,4136911,3971888,3874077,3872375,3910467,4040029,4112273,4090511,4080524,4046600,3948998,3847177,3785480,3686773,3490910,3375317,3219943,3047387,2893668,2712799,2542810,2424960,2316287,2372073,1631763,1510028,1408840,1357479,1105190,938350,808580,702304,610121,502820,424792,361983,281070,229972,182078,140846,106154,75513,122710
0,0,0,2029,343753791,3656932,3670012,3682160,3692372,3701343,3709338,3715933,3766796,3674213,3778112,3826333,3912164,3987370,4087484,4121655,4111578,4102936,4118837,4173671,4270175,4371653,4546340,4551591,4492658,4466867,4509938,4485512,4630858,4916075,4858825,4680720,4588611,4530709,4523894,4576868,4645348,4694854,4776229,4822947,4817558,4666770,4567890,4500700,4493706,4478856,4375563,4427836,4410618,4338519,4307171,4120888,4015884,3952459,3807560,3839420,3757699,3796105,3966445,4187530,4111254,3945342,3845885,3841382,3875963,4000889,4068807,4043823,4030391,3992961,3892422,3787340,3721319,3618335,3420171,3300229,3141338,2965566,2807965,2623815,2450250,2326467,2210743,2250474,1538656,1413719,1308918,1251075,1009793,849148,724011,621517,533113,433302,360561,302291,230580,185063,143523,108604,79956,127742
0,0,0,2030,345073565,3659243,3673112,3686088,3697027,3706381,3714752,3722232,3728360,3778341,3686108,3789510,3837431,3922974,3998303,4099278,4135580,4128662,4123854,4141591,4198769,4296364,4398362,4573177,4579652,4522202,4497683,4541022,4516170,4660259,4943603,4884539,4704488,4610163,4550297,4541362,4591893,4657238,4703574,4782154,4826460,4819276,4667395,4567668,4499865,4492059,4475909,4371010,4420612,4400818,4326689,4293347,4106670,4001131,3937189,3792238,3822849,3740438,3777020,3944396,4161903,4083871,3916950,3815488,3808029,3838989,3959162,4022748,3994526,3977520,3936233,3832361,3723582,3652813,3545232,3344613,3220093,3057487,2878229,2716465,2528901,2351299,2221131,2098337,2122006,1441121,1313997,1206917,1143500,914209,760724,641149,543400,459709,368061,301314,248192,185730,146019,110789,81891,134038
0,0,0,2031,346339264,3660785,3675586,3689325,3701081,3711146,3719892,3727740,3734745,3740611,3790254,3697476,3800649,3848259,3933919,4010178,4113278,4152740,4149693,4146828,4166950,4225373,4323475,4425799,4601501,4609348,4553166,4529122,4571977,4546061,4688509,4969507,4908104,4726026,4629771,4567904,4556737,4604140,4666331,4710031,4786045,4828516,4819676,4667211,4566911,4498533,4489432,4471335,4364378,4411139,4388941,4313196,4278377,4091713,3985842,3921415,3776193,3805412,3722004,3756609,3920897,4134458,4054536,3886285,3782656,3772208,3799425,3914810,3974044,3942510,3921492,3875975,3768255,3655449,3579568,3467223,3263925,3134586,2967927,2784965,2618763,2427357,2245442,2108904,1979500,1987507,1340046,1212155,1103737,1035693,819397,674025,560947,468893,390767,307819,247567,200099,146696,112833,83638,139390
